Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,Prev_Latitude,Prev_Longitude,Prev_In_Florida,Curr_In_Florida,Landfall_Detected
AL051912,UNNAMED,19121003,1800,,EX,28.6,-87.2,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1912,28.5,-88.5,False,True,True
AL011914,UNNAMED,19140917,0,,TS,29.8,-80.1,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1914,29.1,-79.2,False,True,True
AL011914,UNNAMED,19140918,600,,TS,30.5,-87.0,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1914,31.1,-85.4,False,True,True
AL011915,UNNAMED,19150801,600,,TS,28.1,-79.8,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1915,27.9,-79.2,False,True,True
AL041915,UNNAMED,19150903,1800,,HU,25.6,-84.4,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1915,24.0,-84.0,False,True,True
AL011916,UNNAMED,19160514,600,L,TS,25.1,-81.0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,23.8,-80.7,False,True,True
AL021916,UNNAMED,19160704,1800,,HU,24.8,-87.2,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,23.5,-87.0,False,True,True
AL071916,UNNAMED,19160825,600,,TS,25.2,-80.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,24.4,-79.2,False,True,True
AL141916,UNNAMED,19161018,1200,,HU,29.6,-87.5,95,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,27.9,-88.2,False,True,True
AL151916,UNNAMED,19161116,0,,EX,25.5,-80.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1916,24.2,-83.2,False,True,True
AL041917,UNNAMED,19170927,0,,HU,24.7,-87.0,115,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1917,24.4,-86.0,False,True,True
AL041917,UNNAMED,19170929,0,,HU,30.2,-86.9,100,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1917,29.5,-87.9,False,True,True
AL011919,UNNAMED,19190702,600,,TD,24.6,-84.3,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1919,19.5,-84.0,False,True,True
AL021919,UNNAMED,19190910,600,,HU,24.6,-82.8,130,927,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1919,24.3,-82.1,False,True,True
AL041919,UNNAMED,19190930,1800,,TS,30.9,-80.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1919,30.5,-79.0,False,True,True
AL051920,UNNAMED,19200925,600,,TD,25.0,-83.0,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1920,33.4,-48.8,False,True,True
AL051920,UNNAMED,19200930,0,,HU,27.2,-86.8,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1920,26.4,-88.3,False,True,True
AL051921,UNNAMED,19211015,1800,,TD,25.5,-83.0,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921,24.0,-84.0,False,True,True
AL061921,UNNAMED,19211024,1800,,HU,24.7,-85.2,120,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1921,23.8,-85.5,False,True,True
AL051922,UNNAMED,19221015,0,,TS,25.3,-84.0,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1922,24.2,-83.4,False,True,True
AL051924,UNNAMED,19240913,600,,TS,24.8,-85.5,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,24.0,-84.5,False,True,True
AL051924,UNNAMED,19240914,1800,,TS,28.6,-87.6,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,28.2,-88.0,False,True,True
AL081924,UNNAMED,19240929,600,,TS,25.0,-86.5,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,23.0,-86.2,False,True,True
AL101924,UNNAMED,19241020,1200,,HU,25.2,-83.0,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1924,24.4,-83.5,False,True,True
AL041925,UNNAMED,19251201,0,,TS,25.6,-82.8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1925,23.6,-84.2,False,True,True
AL011926,UNNAMED,19260728,0,,HU,27.7,-80.0,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1926,26.9,-79.5,False,True,True
AL071926,UNNAMED,19260918,1200,L,HU,25.6,-80.3,125,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1926,25.0,-78.8,False,True,True
AL101926,UNNAMED,19261021,0,,HU,24.5,-81.0,110,949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1926,23.4,-82.1,False,True,True
AL011928,UNNAMED,19280808,0,,HU,26.9,-79.8,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1928,26.6,-79.5,False,True,True
